iter	Passed	Remaining
0	136	135974
1	137	68421
2	137	45761
3	138	34420
4	138	27619
5	139	23123
6	140	19896
7	141	17532
8	142	15641
9	142	14128
10	143	12909
11	144	11875
12	144	10996
13	145	10245
14	146	9596
15	146	9039
16	147	8536
17	148	8088
18	148	7685
19	149	7324
20	150	6993
21	150	6691
22	151	6416
23	151	6162
24	152	5929
25	152	5713
26	153	5515
27	154	5351
28	154	5181
29	155	5020
30	155	4869
31	156	4729
32	156	4597
33	157	4471
34	157	4353
35	158	4240
36	158	4134
37	159	4034
38	159	3938
39	160	3852
40	161	3769
41	161	3687
42	162	3609
43	162	3534
44	163	3464
45	163	3397
46	164	3332
47	164	3269
48	165	3208
49	165	3150
50	166	3096
51	166	3043
52	167	2996
53	168	2949
54	168	2903
55	169	2860
56	170	2818
57	170	2776
58	171	2735
59	172	2695
60	172	2657
61	173	2620
62	173	2583
63	174	2548
64	174	2516
65	175	2484
66	176	2453
67	176	2420
68	177	2391
69	177	2362
70	178	2333
71	178	2304
72	179	2279
73	180	2252
74	180	2226
75	181	2201
76	181	2177
77	182	2156
78	183	2134
79	183	2112
80	184	2095
81	185	2075
82	186	2055
83	186	2034
84	186	2011
85	187	1991
86	187	1970
87	188	1951
88	188	1932
89	189	1917
90	190	1900
91	190	1883
92	191	1868
93	192	1852
94	192	1835
95	193	1820
96	193	1805
97	194	1790
98	195	1775
99	195	1760
100	196	1745
101	196	1729
102	197	1716
103	197	1703
104	198	1692
105	199	1679
106	199	1666
107	200	1653
108	200	1641
109	201	1628
110	201	1616
111	202	1603
112	202	1592
113	203	1580
114	203	1569
115	204	1558
116	205	1548
117	205	1538
118	206	1527
119	207	1518
120	207	1507
121	208	1497
122	208	1485
123	208	1475
124	209	1466
125	210	1456
126	210	1447
127	210	1437
128	211	1430
129	212	1423
130	213	1415
131	213	1406
132	214	1398
133	214	1389
134	215	1380
135	216	1372
136	216	1364
137	217	1355
138	217	1347
139	218	1339
140	218	1333
141	219	1328
142	220	1321
143	221	1317
144	222	1311
145	223	1305
146	224	1300
147	224	1294
148	225	1288
149	226	1285
150	227	1281
151	228	1275
152	229	1268
153	229	1262
154	230	1255
155	230	1249
156	231	1242
157	231	1236
158	232	1229
159	233	1223
160	234	1220
161	235	1215
162	235	1210
163	236	1204
164	236	1198
165	237	1192
166	237	1186
167	238	1180
168	239	1175
169	239	1169
170	240	1163
171	240	1159
172	241	1154
173	242	1149
174	242	1144
175	243	1139
176	243	1133
177	244	1128
178	245	1123
179	245	1118
180	245	1112
181	246	1107
182	246	1102
183	247	1098
184	248	1095
185	249	1091
186	249	1086
187	250	1082
188	251	1077
189	251	1073
190	252	1070
191	253	1065
192	253	1061
193	254	1057
194	255	1053
195	255	1049
196	256	1045
197	257	1041
198	257	1037
199	258	1033
200	259	1029
201	259	1025
202	260	1021
203	260	1018
204	261	1014
205	262	1011
206	263	1008
207	264	1005
208	264	1002
209	265	998
210	266	995
211	266	991
212	267	988
213	268	984
214	268	981
215	269	978
216	270	975
217	271	972
218	271	969
219	272	966
220	273	963
221	273	959
222	274	956
223	275	953
224	275	949
225	276	946
226	277	943
227	277	940
228	278	938
229	279	935
230	280	932
231	280	929
232	281	926
233	282	923
234	282	920
235	283	917
236	284	914
237	284	912
238	285	909
239	286	907
240	287	904
241	287	901
242	288	898
243	289	895
244	289	893
245	290	890
246	291	888
247	292	885
248	292	883
249	293	881
250	294	878
251	295	875
252	295	873
253	296	870
254	297	868
255	297	866
256	298	863
257	299	860
258	300	859
259	300	856
260	301	854
261	302	851
262	302	848
263	303	846
264	304	843
265	304	840
266	305	837
267	305	835
268	306	832
269	306	830
270	307	827
271	308	825
272	308	822
273	309	820
274	310	817
275	310	814
276	311	812
277	311	809
278	312	807
279	312	804
280	313	802
281	314	800
282	315	799
283	316	797
284	316	794
285	317	792
286	318	790
287	318	787
288	319	785
289	319	783
290	320	780
291	320	778
292	321	776
293	322	774
294	323	772
295	323	770
296	324	767
297	325	765
298	325	763
299	326	760
300	326	758
301	327	756
302	327	753
303	328	751
304	328	749
305	329	747
306	330	746
307	331	743
308	331	741
309	332	739
310	332	737
311	333	735
312	334	733
313	334	731
314	335	729
315	335	727
316	336	725
317	337	724
318	338	722
319	339	720
320	339	718
321	340	717
322	341	714
323	341	712
324	342	711
325	342	709
326	343	706
327	344	705
328	344	703
329	345	701
330	346	699
331	346	697
332	347	695
333	347	693
334	348	691
335	349	689
336	349	687
337	350	685
338	350	684
339	351	682
340	352	681
341	352	679
342	353	677
343	354	675
344	354	673
345	355	671
346	355	669
347	356	667
348	357	666
349	357	664
350	358	662
351	359	661
352	359	659
353	360	657
354	361	655
355	361	654
356	362	652
357	362	650
358	363	648
359	364	647
360	364	645
361	365	643
362	365	642
363	366	640
364	367	639
365	367	637
366	368	635
367	369	634
368	370	632
369	370	631
370	371	629
371	372	628
372	373	627
373	374	626
374	375	625
375	375	623
376	376	621
377	376	620
378	377	618
379	378	617
380	378	615
381	379	614
382	380	612
383	381	611
384	382	611
385	383	609
386	384	608
387	384	607
388	385	605
389	386	603
390	386	602
391	387	600
392	388	599
393	389	598
394	390	597
395	390	596
396	391	594
397	392	593
398	392	591
399	393	589
400	393	588
401	394	586
402	395	585
403	396	584
404	397	583
405	397	582
406	398	580
407	399	579
408	399	577
409	400	576
410	401	574
411	401	573
412	403	572
413	404	572
414	404	570
415	405	569
416	406	567
417	406	566
418	407	565
419	408	563
420	408	562
421	409	560
422	410	559
423	411	558
424	411	557
425	412	555
426	413	554
427	413	552
428	414	551
429	414	549
430	415	548
431	415	546
432	416	545
433	417	544
434	418	543
435	418	541
436	419	540
437	420	538
438	420	537
439	421	535
440	421	534
441	422	533
442	422	531
443	423	530
444	424	529
445	425	528
446	426	527
447	426	525
448	428	525
449	428	524
450	429	522
451	430	521
452	430	520
453	431	518
454	432	517
455	432	516
456	433	515
457	434	513
458	434	512
459	435	511
460	435	509
461	436	508
462	437	507
463	438	506
464	438	504
465	439	503
466	440	502
467	441	501
468	441	500
469	442	499
470	443	497
471	443	496
472	444	495
473	445	494
474	445	492
475	446	491
476	447	490
477	447	489
478	448	487
479	449	486
480	449	485
481	450	483
482	450	482
483	451	481
484	452	480
485	452	478
486	453	477
487	453	476
488	454	475
489	455	474
490	456	472
491	456	471
492	457	470
493	457	468
494	458	467
495	458	466
496	459	465
497	460	463
498	460	462
499	461	461
500	462	460
501	463	459
502	464	458
503	464	457
504	465	456
505	465	454
506	466	453
507	467	452
508	467	451
509	468	449
510	468	448
511	469	447
512	470	446
513	471	445
514	472	444
515	472	443
516	473	442
517	474	441
518	474	440
519	475	439
520	476	437
521	477	436
522	477	435
523	478	434
524	479	433
525	479	432
526	480	431
527	481	430
528	481	429
529	482	427
530	483	426
531	484	426
532	484	424
533	485	423
534	486	422
535	486	421
536	487	420
537	487	419
538	488	417
539	489	416
540	489	415
541	490	414
542	491	413
543	492	412
544	493	411
545	493	410
546	494	409
547	494	408
548	495	407
549	496	405
550	496	404
551	497	403
552	498	402
553	499	401
554	499	400
555	500	399
556	501	398
557	501	397
558	502	396
559	502	395
560	503	393
561	503	392
562	504	391
563	506	391
564	507	390
565	508	389
566	509	388
567	509	387
568	510	386
569	510	385
570	511	384
571	511	383
572	512	381
573	513	380
574	514	380
575	514	378
576	515	377
577	515	376
578	516	375
579	517	374
580	517	373
581	518	372
582	518	371
583	519	369
584	519	368
585	520	367
586	521	366
587	522	365
588	522	364
589	523	363
590	523	362
591	524	361
592	524	360
593	525	359
594	525	358
595	526	356
596	527	355
597	527	354
598	528	353
599	529	352
600	529	351
601	530	350
602	530	349
603	531	348
604	532	347
605	532	346
606	533	345
607	533	344
608	534	343
609	535	342
610	536	341
611	537	340
612	537	339
613	538	338
614	539	337
615	539	336
616	540	335
617	541	334
618	541	333
619	542	332
620	543	331
621	543	330
622	544	329
623	545	328
624	545	327
625	546	326
626	546	325
627	547	324
628	548	323
629	548	322
630	549	321
631	550	320
632	551	319
633	551	318
634	552	317
635	553	316
636	553	315
637	554	314
638	554	313
639	555	312
640	556	311
641	556	310
642	557	309
643	558	308
644	559	307
645	560	306
646	560	305
647	561	304
648	562	303
649	562	302
650	563	301
651	563	300
652	564	299
653	565	299
654	566	298
655	566	297
656	567	296
657	568	295
658	568	294
659	569	293
660	570	292
661	570	291
662	571	290
663	572	289
664	573	288
665	573	287
666	574	286
667	575	285
668	575	284
669	576	283
670	577	282
671	577	281
672	578	280
673	578	280
674	579	279
675	580	278
676	581	277
677	581	276
678	582	275
679	583	274
680	583	273
681	584	272
682	584	271
683	585	270
684	586	269
685	587	268
686	588	268
687	588	267
688	589	266
689	590	265
690	590	264
691	591	263
692	592	262
693	592	261
694	593	260
695	594	259
696	594	258
697	595	257
698	596	256
699	596	255
700	597	254
701	598	253
702	598	252
703	599	251
704	599	251
705	600	250
706	601	249
707	602	248
708	602	247
709	603	246
710	604	245
711	604	244
712	605	243
713	605	242
714	606	241
715	607	240
716	607	239
717	608	239
718	609	238
719	610	237
720	610	236
721	611	235
722	612	234
723	612	233
724	613	232
725	614	231
726	614	230
727	615	229
728	615	228
729	616	228
730	617	227
731	617	226
732	618	225
733	618	224
734	619	223
735	619	222
736	620	221
737	621	220
738	621	219
739	622	218
740	622	217
741	623	216
742	624	215
743	624	214
744	625	214
745	625	213
746	626	212
747	627	211
748	627	210
749	628	209
750	629	208
751	629	207
752	630	206
753	631	205
754	632	205
755	632	204
756	633	203
757	633	202
758	634	201
759	635	200
760	636	199
761	636	198
762	637	198
763	638	197
764	639	196
765	640	195
766	640	194
767	641	193
768	642	192
769	642	191
770	643	191
771	643	190
772	644	189
773	645	188
774	645	187
775	647	186
776	647	185
777	648	185
778	648	184
779	649	183
780	650	182
781	650	181
782	651	180
783	652	179
784	652	178
785	654	178
786	654	177
787	655	176
788	656	175
789	656	174
790	657	173
791	658	172
792	658	171
793	659	171
794	660	170
795	660	169
796	661	168
797	662	167
798	662	166
799	663	165
800	664	165
801	664	164
802	665	163
803	666	162
804	666	161
805	667	160
806	668	159
807	669	159
808	669	158
809	670	157
810	671	156
811	671	155
812	672	154
813	673	153
814	673	152
815	674	152
816	675	151
817	676	150
818	677	149
819	677	148
820	678	147
821	679	147
822	679	146
823	680	145
824	680	144
825	681	143
826	682	142
827	683	141
828	683	141
829	684	140
830	685	139
831	685	138
832	686	137
833	686	136
834	687	135
835	688	134
836	688	134
837	689	133
838	690	132
839	691	131
840	692	130
841	692	130
842	693	129
843	694	128
844	694	127
845	695	126
846	695	125
847	696	124
848	697	124
849	698	123
850	698	122
851	699	121
852	700	120
853	700	119
854	701	118
855	701	118
856	702	117
857	703	116
858	703	115
859	704	114
860	705	113
861	706	113
862	707	112
863	707	111
864	708	110
865	708	109
866	709	108
867	710	107
868	710	107
869	711	106
870	712	105
871	713	104
872	714	103
873	714	103
874	715	102
875	715	101
876	716	100
877	716	99
878	717	98
879	717	97
880	718	97
881	719	96
882	720	95
883	721	94
884	721	93
885	722	92
886	722	92
887	723	91
888	724	90
889	724	89
890	725	88
891	725	87
892	726	87
893	727	86
894	728	85
895	729	84
896	730	83
897	731	83
898	731	82
899	732	81
900	735	80
901	736	79
902	736	79
903	737	78
904	737	77
905	738	76
906	739	75
907	739	74
908	740	74
909	740	73
910	742	72
911	743	71
912	743	70
913	744	70
914	744	69
915	745	68
916	746	67
917	746	66
918	747	65
919	747	65
920	748	64
921	750	63
922	751	62
923	752	61
924	752	61
925	753	60
926	754	59
927	754	58
928	755	57
929	756	56
930	757	56
931	757	55
932	758	54
933	759	53
934	759	52
935	760	51
936	761	51
937	761	50
938	762	49
939	763	48
940	764	47
941	764	47
942	765	46
943	765	45
944	766	44
945	767	43
946	767	42
947	768	42
948	769	41
949	770	40
950	770	39
951	771	38
952	772	38
953	772	37
954	773	36
955	774	35
956	774	34
957	775	33
958	775	33
959	776	32
960	777	31
961	778	30
962	778	29
963	779	29
964	780	28
965	780	27
966	781	26
967	781	25
968	782	25
969	783	24
970	783	23
971	784	22
972	785	21
973	785	20
974	786	20
975	787	19
976	787	18
977	788	17
978	788	16
979	789	16
980	790	15
981	790	14
982	791	13
983	791	12
984	792	12
985	793	11
986	793	10
987	794	9
988	795	8
989	795	8
990	796	7
991	797	6
992	798	5
993	798	4
994	799	4
995	800	3
996	800	2
997	801	1
998	802	0
999	802	0
